Serial Number,Artist,Song Name,Year,Spotify URL
Card-120,AC/DC,What Do You Do for Money Honey,1980,https://open.spotify.com/track/6Th6ND8RQPywiyelecP5Lf
Card-121,Queen,Bohemian Rhapsody - Remastered 2011,1981,https://open.spotify.com/track/2OBofMJx94NryV2SK8p8Zf
Card-122,Royal Hunt,Cold City Lights,2012,https://open.spotify.com/track/54yQ0YZ6hqw8YEE1f7O11I
Card-123,Ozzy Osbourne,Hellraiser,1991,https://open.spotify.com/track/4nvYDy427VvA1TcEkdgZII
Card-124,Scorpions,Holiday - Live,2001,https://open.spotify.com/track/20n32Ci4vq4SlwBBDlpjwr
Card-125,Ozzy Osbourne,Facing Hell,2001,https://open.spotify.com/track/1zLr6SnnxGIqntjCXvras2
Card-126,Gun,Stand In Line,1994,https://open.spotify.com/track/68L5eAAaX1zCJU7s5504AK
Card-127,Gun,Crying Over You,1994,https://open.spotify.com/track/4gzadj7JJRbgRrSnweoQB4
Card-128,Gun,Word Up - Radio Mix,1994,https://open.spotify.com/track/60rE0y6b1kuiPHYLDsCyED
Card-129,Westworld,Skin,2002,https://open.spotify.com/track/03eIfLWCpv2aB0w6SdWNC2
Card-130,Westworld,Ice Queen,2002,https://open.spotify.com/track/5HPQXPMJvGR2WEvh7EzwTT
Card-131,DREAMTIDE,Ten Years Blind,2001,https://open.spotify.com/track/5sAqjwud6x633PXPZRGs76
Card-132,DREAMTIDE,Crashed,2001,https://open.spotify.com/track/6DPIQRGzCxEYgdSFPQ42gT
Card-133,Lord Huron,Fool for Love,2015,https://open.spotify.com/track/7Gk1D8iiJf0Pr6ZaH2aond
Card-134,Santana,Smooth (feat. Rob Thomas),1999,https://open.spotify.com/track/0n2SEXB2qoRQg171q7XqeW
Card-135,AC/DC,Dogs of War,2014,https://open.spotify.com/track/2eSsmjwzDB9JTGvn2ZPLE9
Card-136,Huey Lewis & The News,The Power Of Love - 2006 Remastered Version,2008,https://open.spotify.com/track/0BuhyFIoYROQCptB6bXsYR
Card-137,AC/DC,You Shook Me All Night Long,1986,https://open.spotify.com/track/6yl8Es1tCYD9WdSkeVLFw4
Card-138,Marty McFly,"Johnny B. Goode - From ""Back To The Future"" Soundtrack",1985,https://open.spotify.com/track/6MISU9p4qR5w7K54qSo047
Card-139,Creedence Clearwater Revival,Fortunate Son,2005,https://open.spotify.com/track/07ANB9prOyNTWnMbDGNzdW
Card-140,Hozier,In The Woods Somewhere,2014,https://open.spotify.com/track/2uVa2CxC67xq5JWQazKOAa
Card-141,Blondie,Maria,2002,https://open.spotify.com/track/7bOYOD0d7ByMTXvJnQVl8d
Card-142,George Thorogood & The Destroyers,Bad To The Bone,1982,https://open.spotify.com/track/6s0NHplywwr1IjnQpUpWJk
Card-143,Creedence Clearwater Revival,Fortunate Son,1976,https://open.spotify.com/track/7GkM8M2EC8OJblOxQxAR7t
Card-144,The Mamas & The Papas,California Dreamin' - Single Version,2006,https://open.spotify.com/track/1cCaFCpZ8FKdLalzLWrklQ
Card-145,Bon Jovi,Bad Medicine,1988,https://open.spotify.com/track/3btRbeejnidrYVyJt6J7Gz
Card-146,Avenged Sevenfold,Hail to the King,2013,https://open.spotify.com/track/5anCkDvJ17aznvK5TED5uo
Card-147,Arjen Anthony Lucassen's Star One,Set Your Controls,2002,https://open.spotify.com/track/4zI5a6nrovHyLKe9p1K7M4
Card-148,Arjen Anthony Lucassen's Star One,High Moon,2002,https://open.spotify.com/track/7o4qJNXKbU2q2w5O5T9xQH
Card-149,Arjen Anthony Lucassen's Star One,Songs of the Ocean,2002,https://open.spotify.com/track/0iW4QX6QxnkRTq1SbsNodS
Card-150,Arjen Anthony Lucassen's Star One,The Eye of Ra,2002,https://open.spotify.com/track/6lF8BSwhDbTQbv3wdY1drd
Card-151,Stereophonics,Maybe Tomorrow,2003,https://open.spotify.com/track/4M7XzMb9rNL4rncIXR5pD6
Card-152,Johnny Cash,Ain't No Grave,2010,https://open.spotify.com/track/3VSW7iXXxXMPBULAXLhEGc
Card-153,Sweet,Fox On The Run - '98 Radio Version,2016,https://open.spotify.com/track/42yKMQTPLWy3QjQCZeZTry
Card-154,Huey Lewis & The News,The Power Of Love,2006,https://open.spotify.com/track/2olVm1lHicpveMAo4AUDRB
Card-155,Huey Lewis & The News,Back In Time,2006,https://open.spotify.com/track/1lr7QGyV5RohlODzAqnuZA
Card-156,Goodbye June,Oh No,2016,https://open.spotify.com/track/51EhqjwJH9AmtnQhxVGv1F
Card-157,Europe,Rock the Night,1986,https://open.spotify.com/track/3J9NEWkd9Cx1MwSSvDySkL
Card-158,Nirvana,Heart-Shaped Box,2002,https://open.spotify.com/track/6EvgWSbWmQelxrQBmhEdXh
Card-159,Ozzy Osbourne,Dreamer,2003,https://open.spotify.com/track/1edCFSAq1uhb8WOBvSvVJr
Card-160,The Clash,I Fought the Law,2013,https://open.spotify.com/track/7lSDCrF11sdTVfjbAQVZE8
Card-161,Eric Johnson,Cliffs Of Dover - Instrumental,1990,https://open.spotify.com/track/5qm0KiVKMXW1kq6VrnIhz5
Card-162,Ayreon,The Castle Hall,2008,https://open.spotify.com/track/4j21q9m0D7L8yniJGy9B4H
Card-163,Band Of Skulls,I Know What I Am,2009,https://open.spotify.com/track/2emjgVnrbTxBpdP6Ww0aJo
Card-164,Iron Maiden,Fear Of The Dark - 1998 Remastered Version,1992,https://open.spotify.com/track/3PKLkUWUg493h1FHfDAi3d
Card-165,Quiet Riot,Cum on Feel the Noize,2009,https://open.spotify.com/track/6CfjAVG9FwmwRtxE8yEWlu
Card-166,The Doors,Riders on the Storm - New Stereo Mix,2008,https://open.spotify.com/track/4PREkXFb8YawThmhZICrXR
Card-167,3 Doors Down,Kryptonite,2007,https://open.spotify.com/track/3bbUkaQYGQHkx1TJi7gPSL
Card-168,Journey,Don't Stop Believin',2001,https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg
Card-169,Tarja,Oasis,2007,https://open.spotify.com/track/5hGoIsMmOwF3EsDpp4nwws
Card-170,Coheed and Cambria,Welcome Home,2005,https://open.spotify.com/track/42GP0xKtkolBnmqQRvSllO
Card-171,Sisters of Mercy,More,1993,https://open.spotify.com/track/4Ky9TXlqMjgmzEVPEpCwNE
Card-172,Led Zeppelin,Immigrant Song - Remaster,1970,https://open.spotify.com/track/78lgmZwycJ3nzsdgmPPGNx
Card-173,The Offspring,Come Out And Play (Keep ‘Em Separated),2005,https://open.spotify.com/track/6mHa1qKQRA5dCFHL1Te7Q5
Card-174,Staind,It's Been Awhile,2006,https://open.spotify.com/track/0d2YnyIPgmPQqNSzDg8s8Q
Card-175,Kansas,Dust in the Wind,1977,https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI
Card-176,Heart,Move On,2004,https://open.spotify.com/track/5ZFjZ7JSUJTO8Ueupdigby
Card-177,Heart,Vainglorious,2004,https://open.spotify.com/track/2Y9rajoJDfxV1Tma3JZ0uI
Card-178,Fleetwood Mac,Destiny Rules,2003,https://open.spotify.com/track/0U57U1RaQLD6YT7OiK8QPj
Card-179,Fleetwood Mac,Murrow Turning over in His Grave,2003,https://open.spotify.com/track/0saFueQh8AfgulSb7NkHr7
Card-180,Fleetwood Mac,Peacekeeper,2003,https://open.spotify.com/track/47QCcoUKxDP1vuli0LwT8G
Card-181,Styx,Brave New World,1999,https://open.spotify.com/track/7sdcFE4SXe1iIMuRKtepVT
Card-182,Styx,Best New Face,1999,https://open.spotify.com/track/4qiMdEvtr008Ma5WK49ZFG
Card-183,Styx,Brave New World - Reprise,1999,https://open.spotify.com/track/6Ax5pUNiMAARYHbhnKIBLt
Card-184,Styx,What Have They Done to You,1999,https://open.spotify.com/track/7e9aKjcLgnBlgpISq6vcXh
Card-185,Styx,Everything Is Cool,1999,https://open.spotify.com/track/5okKNaDNqus2VsxmFCqn3z
Card-186,Arjen Anthony Lucassen's Star One,Sandrider,2002,https://open.spotify.com/track/0vfbZPwcNOYRVDv3Wn3ef5
Card-187,Scorpions,Rhythm Of Love,1995,https://open.spotify.com/track/7ATcumB9mGUykJ369vf5yV
Card-188,John Fogerty,Fortunate Son (with Foo Fighters),2013,https://open.spotify.com/track/68gpaI2D80Li95PiQiplMv
Card-189,Judas Priest,Painkiller,1990,https://open.spotify.com/track/0L7zm6afBEtrNKo6C6Gj08
Card-190,Europe,The Final Countdown,1986,https://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK
Card-191,Arjen Anthony Lucassen,Pink Beatles In a Purple Zeppelin,2012,https://open.spotify.com/track/0NMMjxrvanP6IXDMVPp3Nw
